ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
-3.995,1,265.914,0,1,0,47.58,-5.64,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1
-6.312,1,291.992,0,2,1,0,-7.25,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2
-1.826,2,120.151,0,2,1,12.53,-1.6,C1OC1c2ccccc2 
-3.265,1,120.195,0,1,1,0,-3.27,CC(C)c1ccccc1
-3.939,1,330.468,1,4,2,54.37,-3.45,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
-4.438,1,267.93,0,2,0,25.78,-5.43,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) 
0.601,1,150.13,4,1,0,90.15,0.39,C1OC(O)C(O)C(O)C1O
-1.156,1,84.933,0,0,0,0,-0.63,ClCCl
-4.1,1,156.228,0,2,1,0,-4.17,CCc1cccc2ccccc12
-0.048,1,60.052,0,0,1,26.3,0.58,COC=O
-2.318,1,139.11,1,1,1,63.37,-1.74,Oc1ccccc1N(=O)=O
-0.78,1,126.115,2,1,0,65.72,-1.506,Cc1c[nH]c(=O)[nH]c1=O 
-1.891,1,58.124,0,0,0,0,-2.55,CC(C)C
-0.834,1,268.229,4,3,2,133.75,-1.23,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23
-4.615,1,370.915,1,1,0,44.02,-3.61,Oc1c(I)cc(C#N)cc1I
-5.032,1,327.123,2,2,3,92.47,-4.7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O
-2.261,1,72.151,0,0,2,0,-3.18,CCCCC
-1.991,1,94.113,1,1,0,20.23,0,c1ccccc1O
-3.789,1,193.249,1,3,0,26.02,-5.17,Nc3ccc2cc1ccccc1cc2c3 
-1.05,1,180.167,1,2,0,72.68,-2.523,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 
-2.531,2,129.162,0,2,0,12.89,-1.45,c1ccc2cnccc2c1
-5.106,1,367.86,0,1,7,38.77,-4.432,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1
-4.22,1,162.276,0,1,5,0,-5.21,CCCCCCc1ccccc1
-4.528,1,188.657,0,2,1,0,-4.54,Clc1ccccc1c2ccccc2
-2.348,1,84.162,0,0,2,0,-3.03,CCCC(=C)C
-3.276,1,114.232,0,0,2,0,-4.8,CC(C)C(C)C(C)C
-5.168,1,250.339,0,1,0,0,-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
-2.318,1,139.11,1,1,1,63.37,-1.01,Oc1cccc(c1)N(=O)=O
-3.781,1,140.27,0,0,7,0,-5.51,CCCCCCCCC=C
-1.285,1,218.205,0,0,5,78.9,-0.6,CC(=O)OCC(COC(=O)C)OC(=O)C
-3.57,1,209.293,1,1,4,49.25,-2.24,CCCCc1c(C)nc(nc1O)N(C)C 
-6.84,1,434.294,0,3,6,59.32,-7.337,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2
-1.481,2,79.102,0,1,0,12.89,0.76,c1ccncc1
-3.366,1,179.101,0,0,5,0,-4.43,CCCCCCCBr
-2.067,1,107.156,0,1,0,12.89,0.36,Cc1ccncc1C
-3.172,1,380.456,3,4,2,94.83,-3.43,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO 
-2.855,1,225.313,1,1,4,38.33,-2.09,CCSCc1ccccc1OC(=O)NC 
-1.413,1,160.169,0,0,4,52.6,-0.82,CCOC(=O)CC(=O)OCC
-3.429,1,136.238,0,1,1,0,-4.26,CC1=CCC(CC1)C(C)=C
-3.057,2,118.179,0,2,0,0,-3.04,C1Cc2ccccc2C1
-3.192,1,150.221,1,1,0,20.23,-2.41,CC(C)(C)c1ccc(O)cc1
-0.088,1,154.125,2,2,0,75.27,-1.886,O=C2NC(=O)C1(CC1)C(=O)N2 
-4.384,1,238.455,0,1,0,0,-3.55,Clc1cccc(I)c1
-4.434,1,207.07,0,2,0,0,-4.35,Brc1cccc2ccccc12
-2.076,1,70.135,0,0,1,0,-2.54,CC/C=C/C
-2.098,1,107.156,0,1,0,12.89,0.45,Cc1cccc(C)n1
-2.312,1,131.389,0,0,0,0,-1.96,ClC=C(Cl)Cl
-2.721,1,143.189,1,2,0,26.02,-1.92,Nc1cccc2ccccc12
-3.035,1,106.168,0,1,0,0,-2.82,Cc1cccc(C)c1
-1.404,1,148.125,1,2,0,71.79,-1.947,Oc2ncc1nccnc1n2
0.441,1,32.042,1,0,0,20.23,1.57,CO
-2.312,1,226.276,2,1,4,75.27,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
-0.491,1,72.107,0,0,1,17.07,0.52,CCC(=O)C
-0.792,1,130.078,2,1,0,65.72,-1.077,Fc1c[nH]c(=O)[nH]c1=O 
-0.892,1,266.257,4,3,2,126.65,-1.95,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O 
-1.59,1,110.112,2,1,0,40.46,0.81,Oc1cccc(O)c1
-1.397,1,102.177,1,0,4,20.23,-1.24,CCCCCCO
-2.294,1,106.596,0,0,3,0,-2.73,CCCCCCl
-1.376,1,54.092,0,0,1,0,-1.87,C=CC=C
-1.125,1,102.133,0,0,2,26.3,-0.72,CCCOC(=O)C
-3.086,1,148.205,1,2,0,20.23,-1.99,Oc2ccc1CCCCc1c2 
-0.106,1,93.513,1,0,1,43.09,-0.02,NC(=O)CCl 
-6.148,1,413,0,1,4,27.69,-6.62,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
-3.297,1,126.586,0,1,0,0,-3.08,Cc1ccc(Cl)cc1
-2.324,1,214.294,1,1,1,73.8,-2.253,CSc1nnc(c(=O)n1N)C(C)(C)C
-6.39,1,368.369,0,3,6,44.76,-6.01,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1
-1.457,1,100.161,0,0,4,17.07,-1.3,CCCCCC=O
-3.039,1,193.246,1,1,4,52.32,-3.082,CCCCOC(=O)c1ccc(N)cc1
-3.049,1,255.277,1,3,0,68.45,-3.043,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 
-2.603,1,154.253,1,0,4,20.23,-2.46,CC(C)=CCC/C(C)=C\CO
-5.142,1,223.102,0,2,1,0,-5.28,Clc1ccc(cc1)c2ccccc2Cl 
-4.84,1,408.498,1,3,10,75.71,-6.523,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
-0.462,1,75.067,0,0,1,43.14,-0.22,CCN(=O)=O
-5.063,1,333.266,0,1,6,89.52,-6.124,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
-4.546,1,215.894,0,1,0,0,-4.57,Clc1ccc(Cl)c(Cl)c1Cl
-1.376,1,218.253,2,0,6,104.64,-1.807,CCCC(C)(COC(N)=O)COC(N)=O 
-4.342,1,316.485,1,4,1,37.3,-4.65,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C 
-1.646,1,141.939,0,0,0,0,-1,CI
-1.532,1,281.352,2,2,3,83.47,-1.13,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 
-4.496,1,394.471,1,3,9,75.71,-6.301,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
-2.015,1,138.21,0,1,0,17.07,-1.06,CC1=CC(=O)CC(C)(C)C1 
-1.958,1,212.249,2,1,3,75.27,-2.39,O=C1NC(=O)NC(=O)C1(CC)C(C)CC
-2.329,1,142.242,0,0,6,17.07,-2.58,CCCCC(=O)CCCC
-2.591,1,217.268,1,2,2,46.17,-2.337,CCC1(CCC(=O)NC1=O)c2ccccc2 
-2.6,1,86.178,0,0,2,0,-3.68,CCC(C)CC
-6.896,1,376.496,0,3,9,27.69,-8.6,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3
-3.881,1,250.301,0,3,1,34.89,-2.925,Cc1ccccc1n3c(C)nc2ccccc2c3=O
-0.448,1,75.498,0,0,0,23.79,-0.092,ClCC#N
-5.225,1,333.604,0,1,5,18.46,-5.752,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
-3.858,1,312.453,1,4,0,37.3,-5.66,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C 
-0.619,2,80.09,0,1,0,25.78,1.1,c1ccnnc1
-4.621,1,215.894,0,1,0,0,-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1
-5.681,1,414.63,1,6,0,38.69,-7.32,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21
-1.465,1,109.128,2,1,0,46.25,-0.72,Nc1ccccc1O
-3.316,1,186.295,0,0,8,26.3,-3.8,CCCCCCCCC(=O)OCC
-2.87,1,279.336,0,1,5,55.84,-1.601,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C 
-2.409,1,209.245,1,1,3,47.56,-2.05,CNC(=O)Oc1ccccc1OC(C)C
-1.94,1,92.569,0,0,1,0,-1.96,CCC(C)Cl
-3.08,1,144.173,1,2,0,20.23,-2.28,Oc1ccc2ccccc2c1
-5.265,1,345.226,0,2,3,57.26,-5.696,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C
-1.801,1,82.146,0,0,2,0,-2.36,CCCCC#C
-2.864,1,124.227,0,0,5,0,-4.24,CCCCCCCC#C
-3.297,1,126.586,0,1,0,0,-3.52,Cc1ccccc1Cl
-1.281,1,102.177,0,0,2,9.23,-1.1,CC(C)OC(C)C
-2.464,1,248.307,2,2,2,86.18,-3.094,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
0.543,1,46.073,2,0,0,38.05,1.34,CNN
-0.672,1,40.065,0,0,0,0,-0.41,CC#C
-4.557,1,298.304,0,1,7,63.84,-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
-2.826,1,281.314,1,0,7,56.79,-3.408,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C
-0.184,1,56.064,0,0,1,17.07,0.57,C=CC=O
-0.656,1,136.114,2,2,0,74.43,-2.296,O=c1[nH]cnc2nc[nH]c12 
-2.725,1,145.161,1,2,0,33.12,-2.16,Oc2ccc1ncccc1c2 
-2.514,1,96.104,0,1,0,0,-1.8,Fc1ccccc1
-1.585,1,78.542,0,0,1,0,-1.47,CCCCl
-0.77,1,88.106,0,0,1,26.3,-0.04,CCOC(=O)C
-2.938,1,100.205,0,0,1,0,-4.36,CCCC(C)(C)C
-3.993,1,148.249,0,1,0,0,-4,Cc1cc(C)c(C)c(C)c1C
-2.579,1,154.253,0,3,0,9.23,-1.64,CC12CCC(CC1)C(C)(C)O2 
-4.726,1,314.466,0,0,15,52.6,-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
-5.299,1,223.102,0,2,1,0,-6.56,Clc1ccc(cc1)c2ccc(Cl)cc2 
-2.067,1,107.156,0,1,0,12.89,0.38,Cc1cccnc1C
-2.042,1,150.221,0,1,1,17.07,-2.06,CC(=C)C1CC=C(C)C(=O)C1
-5.828,1,342.875,0,1,8,18.46,-5.736,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
-3.292,1,588.562,3,7,5,160.83,-3.571,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67
-6.007,2,252.316,0,5,0,0,-8.804,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
-2.604,1,182.135,0,1,2,86.28,-2.82,Cc1ccc(cc1N(=O)=O)N(=O)=O
-4.434,1,207.07,0,2,0,0,-4.4,c1c(Br)ccc2ccccc12 
-1.846,1,221.26,1,1,3,53.93,-2.34,CNC(=O)Oc1cccc(N=CN(C)C)c1
-1.589,1,162.152,0,2,1,60.79,-1.139,COc2cnc1ncncc1n2
-3.397,1,266.304,1,4,1,58.12,-3.19,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 
-3.76,1,313.747,0,1,7,58.4,-3.658,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C
-1.714,1,68.119,0,0,1,0,-2.03,CC(=C)C=C
-2.399,1,154.253,1,0,4,20.23,-1.99,CC(C)=CCCC(O)(C)C=C
-4.265,1,278.335,0,1,5,27.69,-4.57,COP(=S)(OC)Oc1ccc(SC)c(C)c1
-1.261,1,100.161,1,1,0,20.23,-0.44,OC1CCCCC1
-1.013,1,182.179,2,1,2,75.27,-1.16,O=C1NC(=O)NC(=O)C1(C)CC=C
-3.882,1,290.447,1,4,0,37.3,-4.16,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O
0.647,1,182.172,6,0,5,121.38,0.06,OCC(O)C(O)C(O)C(O)CO 
-4.424,1,168.239,0,2,1,0,-4.62,Cc1ccc(cc1)c2ccccc2
-3.069,1,215.688,2,1,4,62.73,-3.85,CCNc1nc(Cl)nc(NC(C)C)n1
-1.701,1,152.222,2,1,1,38.05,-1.77,NC(=S)Nc1ccccc1
-1.62,1,114.188,0,0,4,17.07,-1.3,CCCC(=O)CCC
-1.25,1,100.161,0,0,0,17.07,-0.72,CC(=O)C(C)(C)C
-2.761,1,128.558,1,1,0,20.23,-0.7,Oc1ccc(Cl)cc1
-0.996,1,98.145,0,1,0,17.07,-0.6,O=C1CCCCC1
-1.954,1,107.156,1,1,0,26.02,-0.85,Cc1cccc(N)c1
-2.019,1,144.388,0,0,0,23.79,-2.168,ClC(Cl)(Cl)C#N
-4.029,1,303.671,1,2,2,46.92,-4.046,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl
-2.617,1,156.269,0,0,7,17.07,-3.3,CCCCCCCCC(=O)C
-3.497,1,243.742,1,1,5,53.94,-3.785,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
-2.383,1,165.192,1,1,2,52.32,-2.616,CCOC(=O)c1ccc(N)cc1
-4.083,1,181.449,0,1,0,0,-3.59,Clc1ccc(Cl)c(Cl)c1
-3.948,1,343.217,0,4,1,43.07,-4.09,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34
-1.635,1,110.112,2,1,0,40.46,0.62,Oc1ccccc1O
-2.794,1,254.293,0,3,1,49.33,-2.62,CCN2c1ncccc1N(C)C(=O)c3cccnc23 
-0.758,1,62.137,0,0,0,0,-0.45,CSC
-3.667,1,171.037,0,1,0,0,-2.23,Cc1ccccc1Br
-0.218,1,89.094,1,0,1,52.32,0.85,CCOC(=O)N
-4.417,1,384.516,0,4,2,60.44,-5.35,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O 
-1.647,1,116.204,1,0,2,20.23,-1.22,CC(C)C(O)C(C)C
-3.468,2,128.174,0,2,0,0,-3.6,c1ccc2ccccc2c1
-2.389,1,121.183,1,1,2,12.03,-1.7,CCNc1ccccc1
-3.057,1,252.273,2,3,2,58.2,-4.097,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3
-6.297,1,256.348,0,4,0,0,-7.02,Cc1c2ccccc2c(C)c3ccc4ccccc4c13
-5.026,1,393.854,0,2,8,55.84,-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
-5.538,1,345.653,0,2,4,18.46,-6.89,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
-5.462,1,381.112,2,2,2,58.2,-7.28,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F 
-3.81,1,366.417,1,3,7,75.71,-4.678,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
-2.671,1,198.653,1,1,1,32.34,-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1
-3.569,1,301.296,1,3,4,50.94,-3.37,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F
-3.876,1,478.513,2,4,4,127.2,-4.13,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O 
-2.303,1,137.02,0,0,2,0,-2.37,CCCCBr
-6.001,1,393.698,0,1,0,0,-6.98,Brc1cc(Br)c(Br)cc1Br
-1.184,1,100.161,0,0,2,17.07,-0.74,CC(C)CC(=O)C
-3.35,1,215.362,0,1,3,20.31,-3.4,CCSC(=O)N(CC)C1CCCCC1 
-3.057,1,142.585,0,1,1,9.23,-2.78,COc1ccc(Cl)cc1
-7.44,1,505.206,0,3,6,59.32,-8.402,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
-2.06,1,224.26,2,1,4,75.27,-2.016,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
-3.845,1,277.238,0,1,5,70.83,-4.04,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1
-4.889,1,254.07,0,2,0,0,-4.55,Ic1cccc2ccccc12
0.647,1,182.172,6,0,5,121.38,1.09,OCC(O)C(O)C(O)C(O)CO
-0.968,1,62.137,1,0,0,0,-0.6,CCS
-1.961,1,133.405,0,0,1,0,-1.48,ClCC(Cl)Cl
-3.141,1,245.282,0,2,2,47.36,-2.09,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2
-1.942,1,137.138,2,1,1,63.32,-1.82,NC(=O)c1ccccc1O
-2.589,1,137.138,0,1,1,43.14,-2.33,Cc1ccccc1N(=O)=O
-1.942,1,212.249,2,1,2,75.27,-2.766,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
-3.296,1,120.195,0,1,1,0,-3.21,CCc1ccccc1C
-3.003,1,134.65,0,0,5,0,-4,CCCCCCCCl
-1.265,1,184.195,2,1,2,75.27,-2.4,O=C1NC(=O)NC(=O)C1(CC)CC
-4.301,2,182.266,0,2,3,0,-4.62,C(Cc1ccccc1)c2ccccc2
